date,code,label,buy,mid,sell,reason
2013-06-28,USD,US DOLLAR,154.75,155.25,155.75,identical_duplicate
2013-10-09,GBP,POUNDS STERLING,246.9974,247.7954,248.5933,identical_duplicate
2013-10-11,DKK,DANISH KRONA,28.1554,28.2463,28.3373,conflict_rejected(prev_mid=28.1756)
2013-10-11,EUR,EURO,210.0384,210.7169,211.3955,conflict_rejected(prev_mid=210.2201)
2013-10-11,XOF,CFA,0.3003,0.3103,0.3203,identical_duplicate
2013-10-21,GBP,POUNDS STERLING,250.0086,250.8156,251.6226,identical_duplicate
2013-10-23,JPY,YEN,1.5923,1.5974,1.6025,conflict_rejected(prev_mid=1.5797)
2013-11-22,GBP,POUNDS STERLING,250.6626,251.4726,252.2826,identical_duplicate
2016-04-11,EUR,EURO,223.4008,223.9707,224.5406,conflict_rejected(prev_mid=223.5974)
2016-11-01,CHF,SWISS FRANC,313.2722,313.7871,314.3019,conflict_rejected(prev_mid=307.7623)
2017-10-09,JPY,YEN,46.0035,46.0795,46.1555,conflict_rejected(prev_mid=2.7014)
2018-02-16,CHF,SWISS FRANC,328.841,329.3801,329.9191,conflict_rejected(prev_mid=330.1448)
2019-01-22,DKK,DANISH KRONA,426.0406,426.7372,427.4338,conflict_rejected(prev_mid=46.6366)
2019-01-28,DKK,DANISH KRONA,46.7825,46.859,46.9355,conflict_rejected(prev_mid=46.5417)
2019-09-23,CHF,SWISS FRANC,309.4155,309.9211,310.4268,conflict_rejected(prev_mid=309.1826)
2020-06-08,SAR,RIYAL,95.936,96.0693,96.2025,conflict_rejected(prev_mid=95.9925)
2020-06-11,XUA,WAUA,423.8798,424.4685,425.0572,identical_duplicate
2020-06-22,CNY,YUAN/RENMINBI,50.9552,51.0265,51.0977,conflict_rejected(prev_mid=50.9291)
2020-07-22,EUR,EURO,416.736,417.3148,417.8936,conflict_rejected(prev_mid=412.5202)
2020-10-21,DKK,DANISH KRONA,60.3311,60.4107,60.4903,identical_duplicate
2020-10-21,SAR,RIYAL,101.0505,101.1838,101.3171,identical_duplicate
2020-10-21,ZAR,SOUTH AFRICAN RAND,23.1189,23.1494,23.1799,identical_duplicate
2020-11-18,USD,US DOLLAR,379.0,379.5,380.0,identical_duplicate
2020-11-26,CNY,YUAN/RENMINBI,24.9313,24.9641,24.997,conflict_rejected(prev_mid=57.677)
2020-12-01,CHF,SWISS FRANC,415.8894,416.4381,416.9867,conflict_rejected(prev_mid=420.0797)
2021-05-06,CHF,SWISS FRANC,417.263,417.8135,418.364,identical_duplicate
2021-07-05,DKK,DANISH KRONA,65.2989,65.3787,65.4585,identical_duplicate
2021-07-05,XDR,SDR,582.5602,583.2722,583.9841,identical_duplicate
2021-07-14,SAR,RIYAL,109.081,109.2143,109.3476,identical_duplicate
2021-08-10,CNY,YUAN/RENMINBI,27.6227,27.6565,27.6902,conflict_rejected(prev_mid=63.2047)
2021-08-26,ZAR,SOUTH AFRICAN RAND,27.4423,27.4758,27.5093,identical_duplicate
2021-09-21,DKK,DANISH KRONA,64.4851,64.5638,64.6425,conflict_rejected(prev_mid=64.9549)
2021-11-03,CHF,SWISS FRANC,450.0219,450.5704,451.1189,identical_duplicate
2021-11-17,CNY,YUAN/RENMINBI,26.5021,26.5343,26.5666,conflict_rejected(prev_mid=64.3452)
2022-03-15,XDR,SDR,65.1252,65.2041,65.2829,conflict_rejected(prev_mid=575.3836)
2022-03-22,CHF,SWISS FRANC,446.0531,446.5901,447.1271,conflict_rejected(prev_mid=444.3269)
2022-03-29,USD,US DOLLAR,415.22,415.72,416.22,conflict_rejected(prev_mid=415.75)
2022-03-30,CHF,SWISS FRANC,0.675,0.685,0.695,conflict_rejected(prev_mid=444.8427)
2022-07-19,XUA,WAUA,110.1984,110.4647,110.7309,conflict_rejected(prev_mid=541.927)
2022-07-22,XUA,WAUA,543.085,543.7397,544.3944,conflict_rejected(prev_mid=545.5299)
2022-07-29,CNY,YUAN/RENMINBI,61.5198,61.6686,61.8174,identical_duplicate
2022-08-22,CHF,SWISS FRANC,441.5833,442.1097,442.6361,conflict_rejected(prev_mid=439.5822)
2022-08-22,JPY,YEN,3.1219,3.1256,3.1294,conflict_rejected(prev_mid=3.0723)
2022-10-12,ZAR,SOUTH AFRICAN RAND,23.8453,23.8727,23.9002,identical_duplicate
2023-03-17,XOF,CFA,0.7237,0.7337,0.7437,identical_duplicate
2023-04-18,SAR,RIYAL,122.6518,122.7851,122.9184,identical_duplicate
2023-05-05,ZAR,SOUTH AFRICAN RAND,25.0196,25.0468,25.074,identical_duplicate
2023-05-08,XUA,WAUA,621.1307,621.8059,622.481,conflict_rejected(prev_mid=620.6156)
2023-11-14,CNY,YUAN/RENMINBI,115.8237,115.8924,115.9611,identical_duplicate
2023-11-15,DKK,DANISH KRONA,120.2722,120.3449,120.4176,identical_duplicate
2023-11-15,GBP,POUNDS STERLING,1028.5002,1029.1221,1029.7441,identical_duplicate
2023-12-12,CHF,SWISS FRANC,967.306,967.8732,968.4403,conflict_rejected(prev_mid=1150.0511)
2023-12-12,EUR,EURO,915.3789,915.9185,916.458,conflict_rejected(prev_mid=917.1874)
2023-12-12,GBP,POUNDS STERLING,1065.4397,1066.0677,1066.6957,conflict_rejected(prev_mid=1268.7116)
2023-12-12,JPY,YEN,5.8286,5.832,5.8354,conflict_rejected(prev_mid=7.0053)
2023-12-12,USD,US DOLLAR,848.28,848.78,849.28,conflict_rejected(prev_mid=1012.62)
2023-12-22,JPY,YEN,7.3143,7.3178,7.3213,conflict_rejected(prev_mid=5.9123)
2024-02-22,CHF,SWISS FRANC,1634.076,1634.6436,1635.2111,conflict_rejected(prev_mid=1775.7352)
2024-02-22,CNY,YUAN/RENMINBI,200.0947,200.1641,200.2336,conflict_rejected(prev_mid=217.4244)
2024-02-22,DKK,DANISH KRONA,208.8617,208.9342,209.0068,conflict_rejected(prev_mid=226.9863)
2024-02-22,EUR,EURO,1557.238,1557.7789,1558.3197,conflict_rejected(prev_mid=1692.4418)
2024-02-22,GBP,POUNDS STERLING,1818.3853,1819.0168,1819.6484,conflict_rejected(prev_mid=1977.0697)
2024-02-22,JPY,YEN,9.5669,9.5702,9.5735,conflict_rejected(prev_mid=10.4273)
2024-02-22,USD,US DOLLAR,1439.621,1440.121,1440.621,conflict_rejected(prev_mid=1563.89)
2024-02-22,XDR,SDR,1909.0814,1909.7445,1910.4075,conflict_rejected(prev_mid=2071.6851)
2024-02-22,XOF,CFA,2.6261,2.6361,2.6461,conflict_rejected(prev_mid=2.5132)
2024-02-22,XUA,WAUA,2128.096,2128.8351,2129.5742,conflict_rejected(prev_mid=2035.602)
2024-02-22,ZAR,SOUTH AFRICAN RAND,75.118,75.1441,75.1702,conflict_rejected(prev_mid=82.5838)
2024-03-27,GBP,POUNDS STERLING,1645.8603,1646.4917,1647.1231,identical_duplicate
2024-04-02,CNY,YUAN/RENMINBI,183.5234,183.5924,183.6615,conflict_rejected(prev_mid=184.0426)
2024-04-02,SAR,RIYAL,354.3885,354.5218,354.6551,conflict_rejected(prev_mid=354.6793)
2024-04-24,XUA,WAUA,1680.2154,1680.937,1681.6585,conflict_rejected(prev_mid=1511.2823)
2024-04-29,XDR,SDR,1809.1199,1809.7786,1810.4374,identical_duplicate
2024-05-24,CNY,YUAN/RENMINBI,204.3319,204.4009,204.47,conflict_rejected(prev_mid=202.7018)
