date,weighted_avg,simple_avg,high,low,close,deals_interbank,turnover_interbank_usd
2024-12-02,1661.1225,1662.7719,1678.0000,1650.0000,1660.0000,,
2024-12-03,1643.1507,1644.7799,1664.0000,1623.0000,1625.0000,,
2024-12-04,1613.6946,1613.8600,1630.0000,1590.0000,1608.0000,,
2024-12-05,1588.7939,1587.2944,1610.0000,1565.0000,1567.0000,,
2024-12-06,1533.7598,1533.9388,1575.0000,1510.0000,1535.0000,,
2024-12-09,1534.6771,1533.9786,1554.0000,1524.5000,1538.5000,,
2024-12-10,1532.1057,1533.4912,1560.0000,1500.0000,1525.0000,,
2024-12-11,1533.0936,1537.1239,1557.0000,1515.0000,1545.0000,,
2024-12-12,1534.6011,1535.6788,1550.0000,1515.0000,1532.0000,,
2024-12-13,1533.2747,1534.0303,1549.0000,1520.0000,1540.0000,,
2024-12-16,1533.5669,1536.7541,1555.0000,1520.0000,1550.0000,,
2024-12-17,1534.1055,1536.3403,1555.0000,1522.0000,1540.0000,,
2024-12-18,1538.8780,1541.4846,1565.0000,1531.0000,1545.0000,,
2024-12-19,1537.4253,1538.6333,1550.0000,1531.0000,1540.0000,,
2024-12-20,1536.9275,1538.8851,1570.0000,1532.0000,1542.0000,,
2024-12-23,1535.7157,1537.0368,1545.0000,1532.0000,1538.0000,,
2024-12-24,1538.5728,1539.2254,1545.0000,1533.0000,1537.0000,,
2024-12-27,1538.3917,1539.8733,1550.0000,1532.0000,1535.0000,,
2024-12-30,1536.9170,1536.9817,1540.2500,1533.0000,1537.0000,,
2024-12-31,1535.8175,1536.5068,1550.0000,1520.0000,1535.0000,,
2025-01-02,1541.3611,1540.6500,1545.0000,1538.0000,1538.5000,,
2025-01-03,1534.5585,1535.0082,1540.0000,1531.0000,1535.0000,,
2025-01-06,1533.6065,1533.7692,1537.5000,1530.0000,1536.0000,,
2025-01-07,1534.1643,1534.7808,1543.0000,1531.0000,1538.0000,,
2025-01-08,1539.3976,1539.0714,1545.0000,1537.0000,1545.0000,,
2025-01-09,1541.0559,1541.9874,1551.0000,1535.0000,1542.0000,,
2025-01-10,1542.0256,1542.9021,1548.0000,1538.0000,1544.5000,,
2025-01-13,1546.8530,1546.9856,1550.0000,1543.0000,1550.0000,,
2025-01-14,1547.6695,1550.7021,1560.0000,1545.0000,1549.0000,,
2025-01-15,1549.2019,1550.1174,1554.0000,1546.7500,1550.0000,,
2025-01-16,1549.9500,1551.0500,1559.0000,1545.0000,1560.0000,,
2025-01-17,1546.7212,1547.0800,1552.0000,1540.2000,1548.0000,,
2025-01-20,1547.9989,1548.7045,1551.5000,1545.0000,1551.0000,,
2025-01-21,1551.2508,1551.3765,1555.0000,1548.4000,1555.0000,,
2025-01-22,1551.9172,1552.3344,1565.0000,1550.0000,1553.0000,,
2025-01-23,1550.4787,1550.6159,1558.0000,1548.0000,1548.5000,,
2025-01-24,1533.2630,1531.8946,1550.0000,1515.0000,1531.0000,,
2025-01-27,1534.5483,1534.4464,1537.0000,1530.0000,1533.5000,,
2025-01-28,1527.3959,1526.9589,1538.0000,1520.0000,1520.0000,,
2025-01-29,1508.4000,1508.7500,1520.0000,1500.0000,1506.0000,,
2025-01-30,1500.7785,1508.7017,1517.0000,1490.0000,1493.0000,,
2025-01-31,1478.2200,1477.9900,1499.0000,1440.0000,1475.0000,,
2025-02-03,1488.9900,1491.2500,1500.0000,1480.0000,1499.0000,,
2025-02-04,1497.4100,1497.7200,1502.0000,1494.0000,1499.0000,,
2025-02-05,1499.1400,1499.0200,1501.0000,1495.0000,1500.0000,,
2025-02-06,1499.9820,1500.0000,1507.0000,1495.5000,1502.0000,,
2025-02-07,1500.4100,1500.5800,1503.0000,1496.0000,1502.5000,,
2025-02-10,1499.7800,1499.8800,1504.0000,1495.7500,1502.0000,,
2025-02-11,1503.0718,1503.6000,1508.0000,1500.0000,1513.1000,,
2025-02-12,1504.3000,1507.3500,1515.0000,1501.0000,1513.0000,,
2025-02-13,1507.8800,1509.1000,1517.0000,1501.0000,1515.0000,,
2025-02-14,1508.6637,1510.2763,1520.0000,1500.0000,1511.0000,,
2025-02-17,1508.5889,1509.5663,1515.0000,1504.0000,1512.0000,,
2025-02-18,1507.2230,1507.3287,1515.0000,1504.0000,1510.0000,,
2025-02-19,1509.0387,1509.0818,1513.0000,1507.0000,1510.0000,,
2025-02-20,1500.5240,1500.7389,1510.0000,1490.0000,1496.0000,,
2025-02-21,1500.7304,1501.0266,1509.0000,1491.0000,1502.5000,,
2025-02-24,1497.1100,1501.0000,1504.0000,1495.0000,1504.0000,,
2025-02-25,1495.9100,1501.9500,1505.0000,1495.0000,1501.5000,,
2025-02-26,1499.1100,1498.7100,1503.0000,1495.0000,1495.0000,,
2025-02-27,1499.0700,1499.0200,1500.5000,1496.0000,1496.0000,,
2025-02-28,1492.4900,1500.7300,1504.0000,1490.0000,1500.0000,,
2025-03-03,1498.9800,1499.2300,1501.0000,1497.0000,1499.0000,,
2025-03-04,1491.6700,1500.3400,1503.0000,1490.0000,1502.0000,,
2025-03-05,1500.8000,1501.6100,1505.0000,1497.1000,1505.0000,,
2025-03-06,1512.3000,1512.5500,1520.0000,1505.0000,1520.0000,,
2025-03-07,1517.2448,1522.7780,1615.0000,1505.7500,1542.0000,,
2025-03-10,1530.1500,1532.2900,1540.0000,1512.0000,1528.0000,,
2025-03-11,1536.1532,1535.7331,1540.0000,1520.0000,1537.0000,,
2025-03-12,1538.6807,1540.6790,1550.0000,1532.0000,1546.0000,,
2025-03-13,1547.8190,1549.8493,1560.0000,1543.0900,1549.0000,,
2025-03-14,1517.9300,1522.3700,1548.0000,1480.0000,1548.0000,,
2025-03-17,1528.0300,1531.9800,1552.0000,1512.0000,1549.0000,,
2025-03-18,1532.9300,1536.1200,1549.5000,1522.7000,1539.0000,,
2025-03-19,1530.5200,1533.9500,1545.0000,1500.0000,1538.0000,,
2025-03-20,1530.6200,1534.3300,1545.0000,1526.1700,1536.0000,,
2025-03-21,1536.8900,1537.0500,1540.0000,1535.0000,1538.0000,,
2025-03-24,1531.1900,1532.2900,1537.0000,1527.5000,1533.0000,,
2025-03-25,1532.3900,1533.6600,1537.0000,1528.3100,1535.0000,,
2025-03-26,1537.6200,1537.8000,1541.0000,1528.0000,1539.0000,,
2025-03-27,1538.6600,1538.9100,1540.0000,1535.0000,1540.0000,,
2025-03-28,1536.8200,1538.2600,1542.0000,1520.0000,1537.0000,,
2025-04-02,1531.2500,1531.6300,1535.0000,1525.0000,1534.0000,,
2025-04-03,1552.5300,1550.7400,1570.0000,1535.0000,1569.0000,,
2025-04-04,1567.0200,1573.2300,1625.0000,1519.0300,1600.0000,,
2025-04-07,1612.2368,1628.8934,1655.0000,1590.0000,1629.0000,,
2025-04-08,1611.5535,1612.9681,1634.0000,1589.0000,1615.0000,,
2025-04-09,1629.9366,1639.3026,1650.0000,1589.0000,1644.0000,,
2025-04-10,1591.8496,1603.7313,1636.0000,1500.0000,1630.5000,,
2025-04-11,1603.7832,1611.0840,1630.0000,1570.0000,1626.0000,,
2025-04-14,1604.4809,1605.2533,1630.0000,1593.1000,1599.0000,,
2025-04-15,1598.9548,1601.4046,1605.0000,1590.0000,1604.0000,,
2025-04-16,1599.7991,1603.1592,1620.0000,1575.0000,1599.0000,,
2025-04-17,1599.9384,1599.9267,1603.0000,1595.0000,1600.5000,,
2025-04-22,1602.6318,1603.1614,1610.0000,1598.5000,1606.0000,,
2025-04-23,1602.3043,1603.5097,1606.0000,1591.2300,1603.0000,,
2025-04-24,1601.8226,1603.0128,1607.0000,1599.9900,1605.0000,,
2025-04-25,1599.5491,1599.4233,1605.0000,1580.0000,1589.0000,,
2025-04-28,1599.9452,1601.3785,1603.5000,1596.0000,1596.0000,,
2025-04-29,1599.7055,1600.0409,1602.0200,1596.7000,1602.0000,,
2025-04-30,1596.6891,1599.4955,1603.5000,1580.0000,1602.0000,,
2025-05-02,1602.1811,1602.6901,1606.5000,1600.0000,1606.0000,,
2025-05-05,1605.6284,1606.9066,1611.0000,1601.9800,1605.0000,,
2025-05-06,1606.6413,1606.7500,1609.5000,1603.0000,1609.0000,,
2025-05-07,1608.6036,1610.4596,1615.0000,1605.0100,1612.0000,,
2025-05-08,1609.6357,1609.5736,1614.0000,1608.0000,1608.1000,,
2025-05-09,1606.1524,1606.6412,1609.0000,1604.3900,1607.0000,,
2025-05-12,1600.4396,1600.2997,1605.0500,1595.0000,1597.7000,,
2025-05-13,1600.0307,1600.0070,1610.5000,1597.0000,1599.7500,,
2025-05-14,1596.7000,1596.7469,1600.0000,1595.0000,1596.0100,,
2025-05-15,1599.3294,1600.1503,1604.0000,1597.1000,1599.9900,,
2025-05-16,1598.7210,1599.5733,1603.5000,1597.0000,1599.0100,,
2025-05-19,1598.6885,1598.9389,1601.5000,1580.0000,1597.0000,,
2025-05-20,1590.4571,1591.2487,1599.5000,1560.0000,1588.5000,,
2025-05-21,1584.4966,1584.2558,1590.0000,1582.5000,1583.0000,,
2025-05-22,1584.9542,1584.9881,1588.5000,1582.0000,1586.0000,,
2025-05-23,1580.4411,1581.5919,1585.0000,1575.1300,1579.0000,,
2025-05-26,1579.4080,1579.6454,1583.0000,1578.0000,1583.0000,,
2025-05-27,1583.7388,1585.7599,1591.0000,1581.9200,1590.0000,,
2025-05-28,1590.7471,1591.6037,1595.0000,1589.5000,1592.0000,,
2025-05-29,1586.1520,1586.4941,1590.7000,1584.5000,1587.0000,,
2025-05-30,1586.1524,1586.1940,1589.0000,1584.5000,1585.5000,,
2025-06-02,1581.5866,1581.4840,1584.0000,1579.0000,1580.0000,,
2025-06-03,1579.2750,1579.4540,1582.0000,1577.0100,1579.0000,,
2025-06-04,1565.4625,1565.9481,1577.0000,1556.5000,1564.0000,,
2025-06-05,1553.1157,1552.6193,1560.0000,1545.0000,1551.0000,,
2025-06-10,1540.0481,1540.2364,1557.9800,1532.0000,1540.0000,,
2025-06-11,1539.7248,1539.9600,1546.5000,1538.0000,1545.0000,,
2025-06-13,1549.3511,1551.8473,1570.0000,1537.0000,1554.0000,,
2025-06-16,1544.6264,1544.5692,1555.0000,1541.0000,1543.0000,,
2025-06-17,1545.2650,1545.2892,1547.9000,1541.0000,1547.5000,,
2025-06-18,1549.2093,1549.1291,1551.0000,1547.5000,1550.9000,,
2025-06-19,1549.4193,1550.5547,1553.9900,1546.0000,1551.0000,,
2025-06-20,1547.3636,1547.7079,1552.0000,1545.0000,1547.0000,,
2025-06-23,1548.5237,1548.5289,1551.0000,1545.0000,1550.0000,,
2025-06-24,1549.0368,1549.0886,1550.5000,1547.5000,1550.0000,,
