date,code,buy,mid,sell
2001-12-10,EUR,99.3787,99.8230,100.2670
2001-12-10,GBP,160.0238,160.7391,161.4545
2001-12-10,JPY,0.8881,0.8921,0.8961
2001-12-10,USD,111.8500,112.3500,112.8500
2001-12-10,XOF,0.1514,0.1521,0.1528
2001-12-10,XUA,138.8876,139.5084,140.1293
2001-12-11,EUR,99.6136,100.0589,100.5042
2001-12-11,GBP,160.1580,160.8740,161.5899
2001-12-11,JPY,0.8883,0.8922,0.8962
2001-12-11,USD,111.8500,112.3500,112.8500
2001-12-11,XOF,0.1514,0.1521,0.1528
2001-12-11,XUA,138.8876,139.5084,140.1293
2001-12-12,EUR,100.0498,100.4971,100.9443
2001-12-12,GBP,161.1759,161.8964,162.6169
2001-12-12,JPY,0.8895,0.8934,0.8974
2001-12-12,USD,111.8500,112.3500,112.8500
2001-12-12,XOF,0.1526,0.1533,0.1540
2001-12-12,XUA,138.8876,139.5084,140.1293
2001-12-13,EUR,100.3854,100.8341,101.2829
2001-12-13,GBP,161.7015,161.4244,163.1472
2001-12-13,JPY,0.8845,0.8885,0.8924
2001-12-13,USD,111.8500,112.3500,112.8500
2001-12-13,XOF,0.1526,0.1532,0.1539
2001-12-13,XUA,138.8876,139.5084,140.1293
2001-12-14,EUR,101.0133,101.4639,101.9144
2001-12-14,GBP,162.5786,162.3038,164.0289
2001-12-14,JPY,0.8802,0.8841,0.8880
2001-12-14,USD,112.1000,112.6000,113.1000
2001-12-14,XOF,0.1534,0.1540,0.1547
2001-12-14,XUA,139.3264,139.7279,140.1293
2001-12-18,EUR,101.0694,101.5202,101.9710
2001-12-18,GBP,162.9486,163.6754,164.4022
2001-12-18,JPY,0.8758,0.8797,0.8836
2001-12-18,USD,112.1000,112.6000,113.1000
2001-12-18,XOF,0.1534,0.1540,0.1547
2001-12-18,XUA,139.3264,139.9479,140.5693
2001-12-19,EUR,100.3856,100.8333,101.2811
2001-12-19,GBP,162.1975,162.9209,163.6444
2001-12-19,JPY,0.8775,0.8814,0.8853
2001-12-19,USD,112.1000,112.6000,113.1000
2001-12-19,XOF,0.1533,0.1540,0.1546
2001-12-19,XUA,139.3264,139.9479,140.5693
2001-12-20,EUR,100.5985,101.0472,101.4959
2001-12-20,GBP,161.9172,162.6394,163.3616
2001-12-20,JPY,0.8728,0.8767,0.8806
2001-12-20,USD,112.1000,112.6000,113.1000
2001-12-20,XOF,0.1533,0.1540,0.1546
2001-12-20,XUA,139.3264,139.9479,140.5693
2001-12-21,EUR,100.4752,100.9234,101.3715
2001-12-21,GBP,162.7468,163.4727,164.1986
2001-12-21,JPY,0.8665,0.8704,0.8742
2001-12-21,USD,112.1000,112.6000,113.1000
2001-12-21,XOF,0.1533,0.1540,0.1547
2001-12-21,XUA,139.3264,139.9479,140.5693
2001-12-24,EUR,99.4522,99.8948,100.3374
2001-12-24,GBP,161.5593,162.2783,162.9973
2001-12-24,JPY,0.8664,0.8702,0.8741
2001-12-24,USD,112.3500,112.8500,113.3500
2001-12-24,XOF,0.1532,0.1539,0.1546
2001-12-24,XUA,141.1707,141.7989,142.4272
2001-12-27,EUR,99.0478,99.4886,99.9294
2001-12-27,GBP,162.6716,163.3955,164.1195
2001-12-27,JPY,0.8548,0.8586,0.8624
2001-12-27,USD,112.3500,112.8500,113.3500
2001-12-27,XOF,0.1509,0.1516,0.1522
2001-12-27,XUA,141.1707,141.7989,142.4272
2001-12-28,EUR,99.0235,99.4638,99.9041
2001-12-28,GBP,162.6814,163.4048,164.1281
2001-12-28,JPY,0.8582,0.8620,0.8658
2001-12-28,USD,112.4500,112.9500,113.4500
2001-12-28,XOF,0.1513,0.1519,0.1526
2001-12-28,XUA,141.1718,141.7995,142.4272
2001-12-31,EUR,99.5070,99.9495,100.3919
2001-12-31,GBP,162.8726,163.5968,164.3210
2001-12-31,JPY,0.8562,0.8600,0.8639
2001-12-31,USD,112.4500,112.9500,113.4500
2001-12-31,XOF,0.1513,0.1519,0.1526
2001-12-31,XUA,139.8700,140.4919,141.1138
2002-01-02,EUR,101.3175,101.7680,102.2185
2002-01-02,GBP,163.0637,163.7888,164.5138
2002-01-02,JPY,0.8533,0.8571,0.8609
2002-01-02,USD,112.4500,112.9500,113.4500
2002-01-02,XOF,0.1519,0.1525,0.1532
2002-01-02,XUA,139.8700,140.4919,141.1138
2002-01-03,EUR,101.6885,102.1407,102.5928
2002-01-03,GBP,162.4340,163.1563,163.8785
2002-01-03,JPY,0.8536,0.8574,0.8612
